Image Query,Image Train,Value matching
S1001,S1001,231
S1002,S1093,307
S1007,S1007,473
S1008,S1029,173
S1011,S1191,270
S1019,S1104,172
S1028,S1093,304
S1029,S1029,344
S1030,S1030,377
S1036,S1098,183
S1042,S1042,344
S1043,S1122,262
S1045,S1045,211
S1053,S1053,313
S1060,S1060,296
S1063,S1118,420
S1064,S1064,327
S1065,S1065,324
S1066,S1106,219
S1067,S1073,193
S1068,S1068,315
S1069,S1089,282
S1070,S1066,238
S1071,S1071,271
S1072,S1072,264
S1073,S1106,294
S1074,S1137,283
S1075,S1118,366
S1076,S1076,334
S1078,S1078,402
S1079,S1079,322
S1080,S1080,265
S1081,S1081,242
S1082,S1105,287
S1083,S1117,288
S1084,S1084,253
S1085,S1086,338
S1086,S1086,477
S1087,S1071,193
S1088,S1088,308
S1089,S1149,260
S1090,S1090,304
S1092,S1092,245
S1093,S1042,201
S1094,S1079,224
S1095,S1095,180
S1096,S1096,279
S1097,S1097,347
S1098,S1098,222
S1099,S1137,322
S1100,S1100,485
S1101,S1101,345
S1102,S1102,242
S1103,S1086,276
S1104,S1104,235
S1105,S1105,340
S1106,S1106,349
S1107,S1148,196
S1108,S1108,388
S1109,S1130,352
S1110,S1105,213
S1111,S1123,275
S1112,S1112,120
S1113,S1106,285
S1114,S1114,219
S1115,S1001,327
S1116,S1116,245
S1117,S1079,211
S1118,S1118,423
S1119,S1119,233
S1120,S1120,284
S1121,S1078,250
S1122,S1122,326
S1123,S1076,228
S1124,S1148,201
S1125,S1093,287
S1126,S1126,146
S1127,S1106,335
S1128,S1086,251
S1129,S1100,237
S1130,S1118,423
S1131,S1131,328
S1132,S1132,317
S1133,S1133,204
S1134,S1134,321
S1135,S1135,255
S1136,S1136,297
S1137,S1137,266
S1138,S1138,425
S1139,S1139,275
S1140,S1140,217
S1141,S1008,160
S1142,S1089,224
S1143,S1143,249
S1144,S1086,334
S1145,S1145,294
S1146,S1146,360
S1148,S1148,387
S1149,S1137,170
S1156,S1156,248
S1159,S1159,308
S1160,S1160,195
S1161,S1156,206
S1162,S1161,159
S1165,S1165,273
S1166,S1166,194
S1167,S1167,252
S1168,S1168,200
S1169,S1042,287
S1170,S1167,215
S1179,S1104,252
S1182,S1182,273
S1188,S1188,210
S1191,S1191,329
S1199,S1199,357
S1209,S1209,240
S1211,S1191,302
S1218,S1053,289
S1219,S1219,251
S1224,S1224,276
S1229,S1229,226
S1239,S1093,285
