Image Query,Image Train,Value matching
S1001,S1001,303
S1002,S1002,283
S1007,S1007,361
S1008,S1008,333
S1011,S1011,309
S1019,S1126,223
S1028,S1028,299
S1029,S1029,364
S1030,S1030,582
S1036,S1036,303
S1042,S1042,309
S1043,S1043,203
S1045,S1045,197
S1053,S1053,336
S1060,S1060,299
S1063,S1063,326
S1064,S1064,506
S1065,S1065,647
S1066,S1066,295
S1067,S1067,254
S1068,S1068,472
S1069,S1069,462
S1070,S1070,250
S1071,S1071,343
S1072,S1072,477
S1073,S1073,465
S1074,S1074,400
S1075,S1075,501
S1076,S1076,405
S1078,S1078,551
S1079,S1079,352
S1080,S1080,335
S1081,S1081,244
S1082,S1082,412
S1083,S1117,318
S1084,S1084,312
S1085,S1085,318
S1086,S1086,592
S1087,S1087,352
S1088,S1088,571
S1089,S1089,342
S1090,S1090,471
S1092,S1126,307
S1093,S1093,388
S1094,S1094,325
S1095,S1095,394
S1096,S1096,228
S1097,S1097,533
S1098,S1098,269
S1099,S1078,300
S1100,S1100,571
S1101,S1101,436
S1102,S1102,360
S1103,S1103,344
S1104,S1104,419
S1105,S1105,446
S1106,S1106,404
S1107,S1107,239
S1108,S1108,516
S1109,S1109,428
S1110,S1110,304
S1111,S1111,329
S1112,S1112,364
S1113,S1113,511
S1114,S1114,348
S1115,S1115,261
S1116,S1116,361
S1117,S1117,302
S1118,S1118,576
S1119,S1119,460
S1120,S1120,603
S1121,S1127,254
S1122,S1122,398
S1123,S1123,422
S1124,S1124,274
S1125,S1043,250
S1126,S1126,189
S1127,S1121,302
S1128,S1086,385
S1129,S1121,292
S1130,S1130,573
S1131,S1131,452
S1132,S1132,467
S1133,S1133,308
S1134,S1134,424
S1135,S1135,378
S1136,S1136,356
S1137,S1137,329
S1138,S1138,435
S1139,S1139,468
S1140,S1140,319
S1141,S1096,200
S1142,S1142,289
S1143,S1143,472
S1144,S1144,302
S1145,S1145,663
S1146,S1146,483
S1148,S1148,277
S1149,S1149,261
S1156,S1156,314
S1159,S1159,391
S1160,S1160,222
S1161,S1161,272
S1162,S1162,400
S1165,S1165,370
S1166,S1166,219
S1167,S1167,330
S1168,S1168,306
S1169,S1169,272
S1170,S1170,250
S1179,S1179,244
S1182,S1182,295
S1188,S1096,269
S1191,S1191,242
S1199,S1199,381
S1209,S1209,276
S1211,S1043,203
S1218,S1071,332
S1219,S1219,236
S1224,S1224,334
S1229,S1229,170
S1239,S1160,199
