"teamId","LgWin"
"BS1","N"
"CH1","N"
"CL1","N"
"FW1","N"
"NY2","N"
"PH1","N"
"RC1","N"
"TRO","N"
"WS3","N"
"BL1","N"
"BR1","N"
"BR2","N"
"BS1","N"
"CL1","N"
"MID","N"
"NY2","N"
"PH1","N"
"TRO","N"
"WS3","N"
"WS4","N"
"BL1","N"
"BL4","N"
"BR2","N"
"BS1","Y"
"ELI","N"
"NY2","N"
"PH1","N"
"PH2","N"
"WS5","N"
"BL1","N"
"BR2","N"
"BS1","Y"
"CH2","N"
"HR1","N"
"NY2","N"
"PH1","N"
"PH2","N"
"BR2","N"
"BS1","Y"
"CH2","N"
"HR1","N"
"KEO","N"
"NH1","N"
"NY2","N"
"PH1","N"
"PH2","N"
"PH3","N"
"SL1","N"
"SL2","N"
"WS6","N"
"BSN","N"
"CHN","N"
"CN1","N"
"HAR","N"
"LS1","N"
"NY3","N"
"PHN","N"
"SL3","N"
"BSN","N"
"CHN","N"
"CN1","N"
"HAR","N"
"LS1","N"
"SL3","N"
"BSN","N"
"CHN","N"
"CN1","N"
"IN1","N"
"ML2","N"
"PRO","N"
"BFN","N"
"BSN","N"
"CHN","N"
"CL2","N"
"CN1","N"
"PRO","N"
"SR1","N"
"TRN","N"
"BFN","N"
"BSN","N"
"CHN","N"
"CL2","N"
"CN1","N"
"PRO","N"
"TRN","N"
"WOR","N"
"BFN","N"
"BSN","N"
"CHN","N"
"CL2","N"
"DTN","N"
"PRO","N"
"TRN","N"
"WOR","N"
"BFN","N"
"BL2","N"
"BSN","N"
"CHN","N"
"CL2","N"
"CN2","N"
"DTN","N"
"LS2","N"
"PH4","N"
"PRO","N"
"PT1","N"
"SL4","N"
"TRN","N"
"WOR","N"
"BFN","N"
"BL2","N"
"BSN","N"
"CHN","N"
"CL2","N"
"CL5","N"
"CN2","N"
"DTN","N"
"LS2","N"
"NY1","N"
"NY4","N"
"PH4","Y"
"PHI","N"
"PRO","N"
"PT1","N"
"SL4","N"
"ALT","N"
"BFN","N"
"BL2","N"
"BLU","N"
"BR3","N"
"BSN","N"
"BSU","N"
"CHN","N"
"CHU","N"
"CL2","N"
"CL5","N"
"CN2","Y"
"CNU","N"
"DTN","N"
"IN2","N"
"KCU","N"
"LS2","N"
"MLU","N"
"NY1","N"
"NY4","Y"
"PH4","N"
"PHI","N"
"PHU","N"
"PRO","N"
"PT1","N"
"RIC","N"
"SL4","N"
"SLU","Y"
"SPU","N"
"TL1","N"
"WIL","N"
"WS7","N"
"WSU","N"
"BFN","N"
"BL2","N"
"BR3","N"
"BSN","N"
"CHN","Y"
"CN2","N"
"DTN","N"
"LS2","N"
"NY1","N"
"NY4","N"
"PH4","N"
"PHI","N"
"PRO","N"
"PT1","N"
"SL4","N"
"SL5","N"
"BL2","N"
"BR3","N"
"BSN","N"
"CHN","Y"
"CN2","N"
"DTN","Y"
"KCN","N"
"LS2","N"
"NY1","N"
"NY4","N"
"PH4","N"
"PHI","N"
"PT1","N"
"SL4","N"
"SL5","N"
"WS8","N"
"BL2","N"
"BR3","N"
"BSN","N"
"CHN","N"
"CL3","N"
"CN2","N"
"DTN","Y"
"IN3","N"
"LS2","N"
"NY1","N"
"NY4","N"
"PH4","N"
"PHI","N"
"PIT","N"
"SL4","Y"
"WS8","N"
"BL2","N"
"BR3","N"
"BSN","N"
"CHN","N"
"CL3","N"
"CN2","N"
"DTN","N"
"IN3","N"
"KC2","N"
"LS2","N"
"NY1","N"
"PH4","N"
"PHI","N"
"PIT","N"
"SL4","Y"
"WS8","N"
"BL2","N"
"BR3","Y"
"BSN","N"
"CHN","N"
"CL4","N"
"CL6","N"
"CN2","N"
"IN3","N"
"KC2","N"
"LS2","N"
"NY1","N"
"PH4","N"
"PHI","N"
"PIT","N"
"SL4","Y"
"WS8","N"
"BFP","N"
"BL3","N"
"BR4","N"
"BRO","Y"
"BRP","N"
"BSN","N"
"BSP","Y"
"CHN","N"
"CHP","N"
"CIN","N"
"CL4","N"
"CL6","N"
"CLP","N"
"LS2","Y"
"NY1","N"
"NYP","N"
"PH4","N"
"PHI","N"
"PHP","N"
"PIT","N"
"PTP","N"
"RC2","N"
"SL4","N"
"SR2","N"
"TL2","N"
"BL3","N"
"BRO","N"
"BS2","Y"
"BSN","Y"
"CHN","N"
"CIN","N"
"CL4","N"
"CL6","N"
"CN3","N"
"LS2","N"
"ML3","N"
"NY1","N"
"PH4","N"
"PHI","N"
"PIT","N"
"SL4","Y"
"WS9","N"
"BLN","N"
"BRO","N"
"BSN","N"
"CHN","N"
"CIN","N"
"CL4","N"
"LS3","N"
"NY1","N"
"PHI","N"
"PIT","N"
"SLN","N"
"WAS","N"
"BLN","N"
"BRO","N"
"BSN","Y"
"CHN","N"
"CIN","N"
"CL4","N"
"LS3","N"
"NY1","N"
"PHI","N"
"PIT","Y"
"SLN","N"
"WAS","N"
"BLN","N"
"BRO","N"
"BSN","N"
"CHN","N"
"CIN","N"
"CL4","N"
"LS3","N"
"NY1","N"
"PHI","N"
"PIT","N"
"SLN","N"
"WAS","N"
"BLN","Y"
"BRO","N"
"BSN","N"
"CHN","N"
"CIN","N"
"CL4","N"
"LS3","N"
"NY1","N"
"PHI","N"
"PIT","N"
"SLN","N"
"WAS","N"
"BLN","Y"
"BRO","N"
"BSN","N"
"CHN","N"
"CIN","Y"
"CL4","Y"
"LS3","N"
"NY1","N"
"PHI","N"
"PIT","N"
"SLN","N"
"WAS","N"
"BLN","Y"
"BRO","N"
"BSN","Y"
"CHN","N"
"CIN","N"
"CL4","N"
"LS3","N"
"NY1","N"
"PHI","N"
"PIT","N"
"SLN","N"
"WAS","N"
"BLN","Y"
"BRO","N"
"BSN","Y"
"CHN","N"
"CIN","N"
"CL4","N"
"LS3","N"
"NY1","N"
"PHI","N"
"PIT","N"
"SLN","N"
"WAS","N"
"BLN","N"
"BRO","Y"
"BSN","Y"
"CHN","N"
"CIN","N"
"CL4","N"
"LS3","N"
"NY1","N"
"PHI","N"
"PIT","N"
"SLN","N"
"WAS","N"
"BRO","N"
"BSN","N"
"CHN","N"
"CIN","N"
"NY1","N"
"PHI","N"
"PIT","N"
"SLN","N"
"BLA","N"
"BOS","N"
"BRO","N"
"BSN","N"
"CHA","Y"
"CHN","N"
"CIN","N"
"CLE","N"
"DET","N"
"MLA","N"
"NY1","N"
"PHA","N"
"PHI","N"
"PIT","Y"
"SLN","N"
"WS1","N"
"BLA","N"
"BOS","N"
"BRO","N"
"BSN","N"
"CHA","N"
"CHN","N"
"CIN","N"
"CLE","N"
"DET","N"
"NY1","N"
"PHA","N"
"PHI","N"
"PIT","Y"
"SLA","N"
"SLN","N"
"WS1","N"
"BOS","Y"
"BRO","N"
"BSN","N"
"CHA","N"
"CHN","N"
"CIN","N"
"CLE","N"
"DET","N"
"NY1","N"
"NYA","N"
"PHA","N"
"PHI","N"
"PIT","Y"
"SLA","N"
"SLN","N"
"WS1","N"
"BOS","Y"
"BRO","N"
"BSN","N"
"CHA","N"
"CHN","N"
"CIN","Y"
"CLE","N"
"DET","N"
"NY1","Y"
"NYA","N"
"PHA","N"
"PHI","N"
"PIT","N"
"SLA","N"
"SLN","N"
"WS1","N"
"BOS","N"
"BRO","N"
"BSN","N"
"CHA","N"
"CHN","N"
"CIN","N"
"CLE","N"
"DET","N"
"NY1","Y"
"NYA","N"
"PHA","Y"
"PHI","N"
"PIT","N"
"SLA","N"
"SLN","N"
"WS1","N"
"BOS","N"
"BRO","N"
"BSN","N"
"CHA","N"
"CHN","Y"
"CIN","N"
"CLE","N"
"DET","N"
"NY1","N"
"NYA","N"
"PHA","N"
"PHI","N"
"PIT","Y"
"SLA","N"
"SLN","N"
"WS1","N"
"BOS","N"
"BRO","N"
"BSN","N"
"CHA","N"
"CHN","N"
"CIN","N"
"CLE","N"
"DET","Y"
"NY1","N"
"NYA","N"
"PHA","N"
"PHI","N"
"PIT","N"
"SLA","N"
"SLN","N"
"WS1","N"
"BOS","N"
"BRO","N"
"BSN","N"
"CHA","N"
"CHN","N"
"CIN","N"
"CLE","N"
"DET","Y"
"NY1","N"
"NYA","N"
"PHA","N"
"PHI","N"
"PIT","N"
"SLA","N"
"SLN","N"
"WS1","N"
"BOS","N"
"BRO","N"
"BSN","N"
"CHA","N"
"CHN","N"
"CIN","N"
"CLE","N"
"DET","Y"
"NY1","N"
"NYA","N"
"PHA","N"
"PHI","N"
"PIT","Y"
"SLA","N"
"SLN","N"
"WS1","N"
"BOS","N"
"BRO","N"
"BSN","N"
"CHA","N"
"CHN","Y"
"CIN","N"
"CLE","N"
"DET","N"
"NY1","N"
"NYA","N"
"PHA","Y"
"PHI","N"
"PIT","N"
"SLA","N"
"SLN","N"
"WS1","N"
"BOS","N"
"BRO","N"
"BSN","N"
"CHA","N"
"CHN","N"
"CIN","N"
"CLE","N"
"DET","N"
"NY1","Y"
"NYA","N"
"PHA","Y"
"PHI","N"
"PIT","N"
"SLA","N"
"SLN","N"
"WS1","N"
"BOS","Y"
"BRO","N"
"BSN","N"
"CHA","N"
"CHN","N"
"CIN","N"
"CLE","N"
"DET","N"
"NY1","Y"
"NYA","N"
"PHA","N"
"PHI","N"
"PIT","N"
"SLA","N"
"SLN","N"
"WS1","N"
"BOS","N"
"BRO","N"
"BSN","N"
"CHA","N"
"CHN","N"
"CIN","N"
"CLE","N"
"DET","N"
"NY1","Y"
"NYA","N"
"PHA","Y"
"PHI","N"
"PIT","N"
"SLA","N"
"SLN","N"
"WS1","N"
"BLF","N"
"BOS","N"
"BRF","N"
"BRO","N"
"BSN","Y"
"BUF","N"
"CHA","N"
"CHF","Y"
"CHN","N"
"CIN","N"
"CLE","N"
"DET","N"
"IND","N"
"KCF","N"
"NY1","N"
"NYA","N"
"PHA","Y"
"PHI","N"
"PIT","N"
"PTF","N"
"SLA","N"
"SLF","N"
"SLN","N"
"WS1","N"
"BLF","N"
"BOS","Y"
"BRF","N"
"BRO","N"
"BSN","N"
"BUF","N"
"CHA","N"
"CHF","Y"
"CHN","N"
"CIN","N"
"CLE","N"
"DET","N"
"KCF","N"
"NEW","N"
"NY1","N"
"NYA","N"
"PHA","N"
"PHI","N"
"PIT","N"
"PTF","N"
"SLA","N"
"SLF","N"
"SLN","N"
"WS1","N"
"BOS","N"
"BRO","N"
"BSN","N"
"CHA","N"
"CHN","N"
"CIN","N"
"CLE","N"
"DET","N"
"NY1","N"
"NYA","N"
"PHA","N"
"PHI","N"
"PIT","N"
"SLA","N"
"SLN","N"
"WS1","N"
"BOS","N"
"BRO","N"
"BSN","N"
"CHA","Y"
"CHN","N"
"CIN","N"
"CLE","N"
"DET","N"
"NY1","Y"
"NYA","N"
"PHA","N"
"PHI","N"
"PIT","N"
"SLA","N"
"SLN","N"
"WS1","N"
"BOS","N"
"BRO","N"
"BSN","N"
"CHA","N"
"CHN","N"
"CIN","N"
"CLE","N"
"DET","N"
"NY1","N"
"NYA","N"
"PHA","N"
"PHI","N"
"PIT","N"
"SLA","N"
"SLN","N"
"WS1","N"
"BOS","N"
"BRO","N"
"BSN","N"
"CHA","Y"
"CHN","N"
"CIN","N"
"CLE","N"
"DET","N"
"NY1","N"
"NYA","N"
"PHA","N"
"PHI","N"
"PIT","N"
"SLA","N"
"SLN","N"
"WS1","N"
"BOS","N"
"BRO","Y"
"BSN","N"
"CHA","N"
"CHN","N"
"CIN","N"
"CLE","Y"
"DET","N"
"NY1","Y"
"NYA","Y"
"PHA","N"
"PHI","N"
"PIT","N"
"SLA","N"
"SLN","N"
"WS1","N"
"BOS","N"
"BRO","N"
"BSN","N"
"CHA","N"
"CHN","N"
"CIN","N"
"CLE","N"
"DET","N"
"NY1","Y"
"NYA","Y"
"PHA","N"
"PHI","N"
"PIT","N"
"SLA","N"
"SLN","N"
"WS1","N"
"BOS","N"
"BRO","N"
"BSN","N"
"CHA","N"
"CHN","N"
"CIN","N"
"CLE","N"
"DET","N"
"NY1","Y"
"NYA","N"
"PHA","N"
"PHI","N"
"PIT","N"
"SLA","Y"
"SLN","N"
"WS1","N"
"BOS","N"
"BRO","N"
"BSN","N"
"CHA","N"
"CHN","N"
"CIN","N"
"CLE","N"
"DET","N"
"NY1","N"
"NYA","Y"
"PHA","N"
"PHI","N"
"PIT","N"
"SLA","N"
"SLN","N"
"WS1","N"
"BOS","N"
"BRO","N"
"BSN","N"
"CHA","N"
"CHN","N"
"CIN","N"
"CLE","N"
"DET","N"
"NY1","Y"
"NYA","N"
"PHA","N"
"PHI","N"
"PIT","N"
"SLA","N"
"SLN","N"
"WS1","N"
"BOS","N"
"BRO","N"
"BSN","N"
"CHA","N"
"CHN","N"
"CIN","N"
"CLE","N"
"DET","N"
"NY1","N"
"NYA","N"
"PHA","N"
"PHI","N"
"PIT","N"
"SLA","N"
"SLN","N"
"WS1","N"
"BOS","N"
"BRO","N"
"BSN","N"
"CHA","N"
"CHN","N"
"CIN","N"
"CLE","N"
"DET","N"
"NY1","N"
"NYA","N"
"PHA","N"
"PHI","N"
"PIT","N"
"SLA","N"
"SLN","N"
"WS1","N"
"BOS","N"
"BRO","N"
"BSN","N"
"CHA","N"
"CHN","N"
"CIN","N"
"CLE","N"
